id,username,full_name,is_verified,followed_by_viewer,requested_by_viewer,user_follows,follows_viewer,is_private,has_requested_viewer,blocked_by_viewer,has_blocked_viewer,follows_count,followed_by_count,media_count
3013303840,waynermoffat,Wayne Moffat - Online Trainer,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2127,8777,515
41296057,noredine.haddanou,Noredine Haddanou,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2335,10025,535
51191172,federicopicche,Dr. Federico Picchetti,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2130,10553,308
511109056,leslieairvine,Leslie Irvine,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,486,279,164
7376810777,strongerwithconger,Jess Conger,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1526,2413,170
2904037020,kryofitsport,Kryofit Sport,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2788,11086,351
9914148222,stronghammy,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,96,118,20
252449184,zaoasiancafe,zao asian cafe,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2593,6977,610
4218359354,rehabscience,Dr. Tom Walters,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,319,331012,472
1295092740,perfectstridept,Perfect Stride PT,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,294,59039,1102
5820073084,lotusonair,Lotus On Air,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1215,3406,191
3055294744,morningchalkup,Morning Chalk Up,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1282,29605,434
296981513,underarmourwomen,Under Armour Women,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,759,711526,1417
6678846964,feedingthefrasers,Feeding The Frasers,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,143,166981,185
212170337,sammymoniz,sammymoniz,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,399,66024,1953
228808159,dwpinder,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,76,97,2
39568107,mrsmeghan_upton,Meghan Upton,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,733,631,148
6852097040,coach_j_upton,Jorden Upton,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1607,837,16
3115366395,noelmaxfit,Noel Clark,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,6429,15602,281
20894354,elizabethjackson2,Elizabeth Jackson,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2857,2350,200
1491187768,nutriblendprotein,Nutri Blend Protein,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,834,15942,9
5982749436,masha.slipchenkofit,𝓜𝓪𝓼𝓱𝓪  𝓢𝓵𝓲𝓹𝓬𝓱𝓮𝓷𝓴𝓸,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7497,14597,347
4225412239,sophiawilmotjosife,FITNESS | HEALTH | LIFE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3038,12001,280
5374217737,provokaraoke,Heart & Seoul Karaoke: Provo 🎤,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1764,19463,123
4615037836,thematchareserve,The Matcha Reserve,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6685,15038,1412
